id,latitude,longitude,scientific_name,common_name,taxon_class_name,taxon_genus_name
68382537,38.5730373687,-121.7132012104,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
68382538,38.5730373687,-121.7132012104,Sayornis saya,Say's Phoebe,Aves,Sayornis
68382539,38.5730373687,-121.7132012104,Sayornis saya,Say's Phoebe,Aves,Sayornis
68382544,38.5730373687,-121.7132012104,Sayornis saya,Say's Phoebe,Aves,Sayornis
68382545,38.5730373687,-121.7132012104,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68382549,38.5730373687,-121.7132012104,Calypte anna,Anna's Hummingbird,Aves,Calypte
68382551,38.5730373687,-121.7132012104,Peritoma arborea,Bladderpod,Magnoliopsida,Peritoma
68382552,38.5730373687,-121.7132012104,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
68382556,38.5730373687,-121.7132012104,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68382559,38.5730373687,-121.7132012104,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68382561,38.5730373687,-121.7132012104,Agelaius phoeniceus,Red-winged Blackbird,Aves,Agelaius
68382569,38.5730373687,-121.7132012104,Calypte anna,Anna's Hummingbird,Aves,Calypte
68382571,38.5730373687,-121.7132012104,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
68382577,38.5730373687,-121.7132012104,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
68382578,38.5730373687,-121.7132012104,Phalacrocorax auritus,Double-crested Cormorant,Aves,Phalacrocorax
68382579,38.5730373687,-121.7132012104,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
68382585,38.5730373687,-121.7132012104,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68382586,38.5730373687,-121.7132012104,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
68382587,38.5730373687,-121.7132012104,Sayornis nigricans,Black Phoebe,Aves,Sayornis
68382592,38.5730373687,-121.7132012104,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68382593,38.5730373687,-121.7132012104,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
68382594,38.5730373687,-121.7132012104,Anser albifrons,Greater White-fronted Goose,Aves,Anser
68382596,38.5730373687,-121.7132012104,Sayornis saya,Say's Phoebe,Aves,Sayornis
68427241,38.5611851915,-121.7456445627,Galium aparine,catchweed bedstraw,Magnoliopsida,Galium
